/usr/bin/python3.5 /home/meoke/Repos/pang/src/pangenome.py mln -f files/mycoplasma8/mycoplasma_more.hal.maf -format maf -m all -data mycoplasma
Building multialignment from /home/meoke/Repos/pang/tests/files/mycoplasma8/mycoplasma_more.hal.maf...
block: 239, +: 1, -:7, MINUS,
block: 240, +: 1, -:7, MINUS,
block: 241, +: 1, -:7, MINUS,
block: 242, +: 1, -:7, MINUS,
block: 243, +: 1, -:7, MINUS,
block: 244, +: 1, -:7, MINUS,
block: 245, +: 1, -:7, MINUS,
block: 246, +: 4, -:11, MINUS,
block: 247, +: 4, -:12, MINUS,
block: 248, +: 4, -:1, ,
block: 249, +: 1, -:11, MINUS,
block: 250, +: 4, -:11, MINUS,
block: 251, +: 4, -:12, MINUS,
block: 252, +: 4, -:7, MINUS,
block: 253, +: 4, -:14, MINUS,
block: 254, +: 4, -:7, MINUS,
block: 255, +: 4, -:14, MINUS,
block: 256, +: 1, -:7, MINUS,
block: 257, +: 4, -:7, MINUS,
block: 258, +: 4, -:14, MINUS,
block: 259, +: 4, -:7, MINUS,
block: 260, +: 4, -:14, MINUS,
block: 261, +: 1, -:7, MINUS,
block: 262, +: 4, -:7, MINUS,
block: 263, +: 4, -:14, MINUS,
block: 264, +: 4, -:13, MINUS,
block: 265, +: 4, -:13, MINUS,
block: 266, +: 4, -:14, MINUS,
block: 267, +: 1, -:6, MINUS,
block: 268, +: 4, -:14, MINUS,
block: 269, +: 4, -:14, MINUS,
block: 270, +: 4, -:14, MINUS,
block: 271, +: 1, -:2, MINUS,
block: 272, +: 4, -:15, MINUS,
block: 273, +: 4, -:16, MINUS,
block: 274, +: 4, -:15, MINUS,
block: 275, +: 4, -:16, MINUS,
block: 276, +: 4, -:15, MINUS,
block: 277, +: 4, -:16, MINUS,
block: 278, +: 4, -:15, MINUS,
block: 279, +: 4, -:16, MINUS,
block: 280, +: 4, -:15, MINUS,
block: 281, +: 4, -:16, MINUS,
block: 282, +: 4, -:16, MINUS,
block: 283, +: 4, -:15, MINUS,
block: 284, +: 4, -:13, MINUS,
block: 285, +: 4, -:14, MINUS,
block: 286, +: 4, -:12, MINUS,
block: 287, +: 1, -:14, MINUS,
block: 288, +: 4, -:14, MINUS,
block: 289, +: 4, -:13, MINUS,
block: 290, +: 1, -:2, MINUS,
block: 291, +: 4, -:12, MINUS,
block: 292, +: 1, -:8, MINUS,
block: 293, +: 4, -:12, MINUS,
block: 294, +: 4, -:14, MINUS,
block: 295, +: 4, -:0, ,
block: 296, +: 4, -:14, MINUS,
block: 297, +: 4, -:12, MINUS,
block: 298, +: 1, -:2, MINUS,
block: 299, +: 4, -:12, MINUS,
block: 300, +: 4, -:14, MINUS,
block: 301, +: 4, -:6, MINUS,
block: 302, +: 4, -:14, MINUS,
block: 303, +: 4, -:0, ,
block: 304, +: 3, -:0, ,
block: 305, +: 4, -:0, ,
block: 306, +: 3, -:0, ,
block: 307, +: 4, -:0, ,
block: 308, +: 3, -:0, ,
block: 309, +: 4, -:0, ,
block: 310, +: 3, -:0, ,
block: 311, +: 4, -:0, ,
block: 312, +: 4, -:0, ,
block: 313, +: 1, -:14, MINUS,
block: 314, +: 4, -:1, ,
block: 315, +: 4, -:14, MINUS,
block: 316, +: 4, -:12, MINUS,
block: 317, +: 4, -:14, MINUS,
block: 318, +: 4, -:0, ,
block: 319, +: 4, -:0, ,
block: 320, +: 4, -:0, ,
block: 321, +: 3, -:0, ,
block: 322, +: 4, -:0, ,
block: 323, +: 3, -:0, ,
block: 324, +: 1, -:7, MINUS,
block: 325, +: 1, -:7, MINUS,
block: 326, +: 1, -:7, MINUS,
block: 327, +: 1, -:7, MINUS,
block: 328, +: 1, -:7, MINUS,
block: 329, +: 1, -:7, MINUS,
block: 330, +: 1, -:7, MINUS,
block: 331, +: 1, -:7, MINUS,
block: 332, +: 1, -:7, MINUS,
block: 333, +: 1, -:7, MINUS,
block: 334, +: 1, -:7, MINUS,
block: 335, +: 1, -:7, MINUS,
block: 336, +: 1, -:7, MINUS,
block: 337, +: 1, -:7, MINUS,
block: 338, +: 1, -:7, MINUS,
block: 339, +: 1, -:7, MINUS,
block: 340, +: 1, -:7, MINUS,
block: 341, +: 1, -:7, MINUS,
block: 342, +: 1, -:7, MINUS,
block: 343, +: 1, -:7, MINUS,
block: 344, +: 1, -:7, MINUS,
block: 345, +: 1, -:7, MINUS,
block: 346, +: 1, -:7, MINUS,
block: 347, +: 1, -:7, MINUS,
block: 348, +: 1, -:7, MINUS,
block: 349, +: 1, -:7, MINUS,
block: 350, +: 1, -:7, MINUS,
block: 351, +: 1, -:7, MINUS,
block: 352, +: 1, -:7, MINUS,
block: 353, +: 1, -:7, MINUS,
block: 354, +: 1, -:7, MINUS,
block: 355, +: 1, -:7, MINUS,
block: 356, +: 1, -:7, MINUS,
block: 357, +: 1, -:7, MINUS,
block: 358, +: 1, -:7, MINUS,
block: 359, +: 1, -:7, MINUS,
block: 360, +: 1, -:7, MINUS,
block: 361, +: 1, -:7, MINUS,
block: 362, +: 1, -:7, MINUS,
block: 363, +: 1, -:7, MINUS,
block: 364, +: 1, -:7, MINUS,
block: 365, +: 1, -:7, MINUS,
block: 366, +: 1, -:7, MINUS,
block: 367, +: 1, -:7, MINUS,
block: 368, +: 1, -:7, MINUS,
block: 369, +: 1, -:7, MINUS,
block: 370, +: 1, -:7, MINUS,
block: 371, +: 1, -:7, MINUS,
block: 372, +: 1, -:7, MINUS,
block: 373, +: 1, -:7, MINUS,
block: 374, +: 1, -:7, MINUS,
block: 375, +: 1, -:7, MINUS,
block: 376, +: 1, -:7, MINUS,
block: 377, +: 1, -:7, MINUS,
block: 378, +: 1, -:7, MINUS,
block: 379, +: 1, -:7, MINUS,
block: 380, +: 1, -:7, MINUS,
block: 381, +: 1, -:7, MINUS,
block: 382, +: 1, -:7, MINUS,
block: 383, +: 1, -:7, MINUS,
block: 384, +: 1, -:7, MINUS,
block: 385, +: 1, -:7, MINUS,
block: 386, +: 1, -:7, MINUS,
block: 387, +: 1, -:7, MINUS,
block: 388, +: 1, -:7, MINUS,
block: 389, +: 1, -:7, MINUS,
block: 390, +: 1, -:7, MINUS,
block: 391, +: 1, -:7, MINUS,
block: 392, +: 1, -:7, MINUS,
block: 393, +: 1, -:7, MINUS,
block: 394, +: 1, -:7, MINUS,
block: 395, +: 1, -:7, MINUS,
block: 396, +: 1, -:7, MINUS,
block: 397, +: 1, -:7, MINUS,
block: 398, +: 1, -:7, MINUS,
block: 399, +: 1, -:7, MINUS,
block: 400, +: 1, -:7, MINUS,
block: 401, +: 1, -:7, MINUS,
block: 402, +: 1, -:7, MINUS,
block: 403, +: 1, -:7, MINUS,
block: 404, +: 1, -:7, MINUS,
block: 405, +: 1, -:7, MINUS,
block: 406, +: 1, -:7, MINUS,
block: 407, +: 1, -:7, MINUS,
block: 408, +: 1, -:7, MINUS,
block: 409, +: 1, -:7, MINUS,
block: 410, +: 1, -:7, MINUS,
block: 411, +: 1, -:7, MINUS,
block: 412, +: 1, -:7, MINUS,
block: 413, +: 1, -:7, MINUS,
block: 414, +: 1, -:7, MINUS,
block: 415, +: 1, -:7, MINUS,
block: 416, +: 1, -:7, MINUS,
block: 417, +: 1, -:7, MINUS,
block: 418, +: 1, -:7, MINUS,
block: 419, +: 1, -:7, MINUS,
block: 420, +: 1, -:7, MINUS,
block: 421, +: 1, -:7, MINUS,
block: 422, +: 1, -:7, MINUS,
block: 423, +: 1, -:7, MINUS,
block: 424, +: 1, -:7, MINUS,
block: 425, +: 1, -:7, MINUS,
block: 426, +: 1, -:7, MINUS,
block: 427, +: 1, -:7, MINUS,
block: 428, +: 1, -:7, MINUS,
block: 429, +: 1, -:7, MINUS,
block: 430, +: 1, -:7, MINUS,
block: 431, +: 1, -:7, MINUS,
block: 432, +: 1, -:7, MINUS,
block: 433, +: 1, -:7, MINUS,
block: 434, +: 1, -:7, MINUS,
block: 435, +: 1, -:7, MINUS,
block: 436, +: 1, -:7, MINUS,
block: 437, +: 1, -:7, MINUS,
block: 438, +: 1, -:7, MINUS,
block: 439, +: 1, -:7, MINUS,
block: 440, +: 1, -:7, MINUS,
block: 441, +: 1, -:7, MINUS,
block: 442, +: 1, -:7, MINUS,
block: 443, +: 1, -:7, MINUS,
block: 444, +: 5, -:20, MINUS,
block: 445, +: 5, -:24, MINUS,
block: 446, +: 1, -:4, MINUS,
block: 447, +: 5, -:24, MINUS,
